producto;sku;venta_ars;compra_pdf_ars;diferencia_antes_de_gastos_ars;margen_antes_de_gastos_pct;pagina_pdf;estado;mercado_libre
TOTAL HIDROLAVADORA COMERCIAL 2400W TGT11176;512008;324400.0;208032.0;116368.0;35.87;199;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW DADOS DE IMPACTO HEXAGONALES 8PCS 78MM CRMO WMS3408;21234;157300.0;100864.0;56436.0;35.88;74;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL BOLSA HERRAMIENTA THT16P1011;341080;41800.0;26792.0;15008.0;35.9;33;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL KIT DE BATERIA +CARGADOR 20V TFBCLI20245;501972;33400.0;21434.0;11966.0;35.83;84;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW CANDADO 30MM WPD1430;614085;6100.0;3918.0;2182.0;35.77;90;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW ROTOMARTILLO SDS PLUS 800W WRH1D26;463836;130000.0;83370.0;46630.0;35.87;277;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW EXTRACTOR DE ENGRANAJE 130X100MM WGP4A02;542944;17200.0;11032.0;6168.0;35.86;338;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL TECLE DE CADENA 1TON 3M THT1611;316194;59000.0;37824.0;21176.0;35.89;223;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL BATERIA TOBP1803 18V;239943;27300.0;17509.0;9791.0;35.86;79;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"TOTAL CONECTOR DE MANGUERA DE PLÁSTICO 1"" - 3/4"" THHC604101";446679;13000.0;8321.0;4679.0;35.99;87;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL ESMERIL DE BANCADA TBG35020 350W;313742;120100.0;77035.0;43065.0;35.86;41;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"TOTAL TIJERA DE ELECTRICISTA 5.5"" 145MM THT1155871";456302;13800.0;8826.0;4974.0;36.04;154;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW CANDADO 60MM WPD1460;463232;15000.0;9588.0;5412.0;36.08;90;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL MARTILLO ROTATIVO 20V TRHLI222085 2B SLIM;615266;235900.0;151296.0;84604.0;35.86;278;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL TALADRO DE IMPACTO 20V 96NM UTIDLI209686 MOTOR SIN ESCOB;5890;309400.0;198422.0;110978.0;35.87;55;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL PULVERIZADOR 20L THSPP42002;521451;62400.0;40018.0;22382.0;35.87;206;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL ALICATE DESLIZANTE THT118062 6'';456241;6500.0;4170.0;2330.0;35.85;104;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL ACCESORIOS DE MINI TALADRO 420PCS TAKMG4208;487023;40300.0;25846.0;14454.0;35.87;274;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL SOPORTE DE ELETRODO PARA MAQUINA DE SOLDAR TWAH8006;381154;206400.0;132384.0;74016.0;35.86;272;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW TALADRO DRYWALL 20V WDS204285 2.0AH;613811;176800.0;113384.0;63416.0;35.87;57;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"WADFOW ALICATE PICO.L WPL2938 8"" AISLADO";462334;13600.0;8753.0;4847.0;35.64;180;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"WADFOW TIJERA AVIACION RECTA 10"" WAS2910";460460;12300.0;7880.0;4420.0;35.93;194;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL HIDROLAVADORA 20V TPWLI2008;444453;157300.0;100864.0;56436.0;35.88;202;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL GENERADOR A GASOLINA ULTRA SILENCIOSO 1.1KW TP515006;133180;803400.0;515229.0;288171.0;35.87;99;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL SIERRA SABLE TS100756 750W;56922;127800.0;81952.0;45848.0;35.87;266;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW HACHA 800G WHM6308;460651;17200.0;11032.0;6168.0;35.86;338;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW ESCALERA EXTENSIBLE 3 TRAMOS WLD6H38;490085;293800.0;188417.0;105383.0;35.87;162;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL FRESADORA UTR11122 2200W ROTEADOR IND.;312134;108100.0;69344.0;38756.0;35.85;218;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW CAJA DE HERRAMIENTAS CON 6 GAVETAS WCS4A08;538718;27000.0;17336.0;9664.0;35.79;37;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL ATORNILLADOR INALÁMBRICO 4V TSDLI04062;59237;157300.0;100864.0;56436.0;35.88;66;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW JUEGO DE BROCAS Y PUNTAS DE DESTORNILLADOR 16 PCS WKS41;528658;7200.0;4586.0;2614.0;36.31;127;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL TALADRO FUNCIÓN DE IMPACTO 20V UTIDLI20968 96NM MOTOR SI;542081;167100.0;107168.0;59932.0;35.87;73;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL KIT HERRAMIENTA THT141451 45PZS;340465;13800.0;8826.0;4974.0;36.04;148;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL CORTADOR DE PISO 800MM THT08001;609944;156000.0;100029.0;55971.0;35.88;101;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL CEPILLO CIRCULAR PARA HIDROLAVADORA THPB36201;553469;39000.0;25011.0;13989.0;35.87;195;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW CABRESTANTE ELÉCTRICO 250KG 18M UWETH1A04;616867;223600.0;143397.0;80203.0;35.87;333;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL NIVEL DE BURBUJA MAGNETICO TMT220028 200CM;609937;54000.0;34600.0;19400.0;35.93;227;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW SET ALICATE 4PZ WPS2604 CIRCLIP;460224;8800.0;5674.0;3126.0;35.52;194;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL TALADRO DE IMPACTO 20V 96NM TIDLI209681;549189;137600.0;88256.0;49344.0;35.86;62;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL PISTOLA DE PEGAMENTO TGGLI1201 12V;465403;30000.0;19259.0;10741.0;35.8;305;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW ADAPTADORES PARA EXTRACCIÓN DE BALINERAS RUEDA DELANTER;614047;143000.0;91707.0;51293.0;35.87;306;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"TOTAL CAJA DE HERRAMIENTAS 33"" 35KG TPBX0332";612043;27000.0;17336.0;9664.0;35.79;34;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW MARTILLO DE LAPIDACIÓN 3KG WHM2330;232326;33800.0;21676.0;12124.0;35.87;166;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL LLAVE DE IMPACTO 20V TIRLI2028 PUNTA DE ENCAJE MOTOR SIN;501859;231400.0;148384.0;83016.0;35.88;54;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"TOTAL KIT DE HERRAMIENTAS JUEGO DE DADOS 3/8"" 22PCS THT381221";536578;54100.0;34672.0;19428.0;35.91;137;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW JUEGO DE 36 PUNTAS DE DESTORNILLADOR WBS3B36;461641;13000.0;8337.0;4663.0;35.87;127;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW JABONERA Y SOPORTE WZG1505;469944;12900.0;8255.0;4645.0;36.01;317;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW ESCALERA ANDAMIO 16 ESCALONES 150KG ALUMINIO CON PLATAF;501231;257400.0;165073.0;92327.0;35.87;164;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL LLAVE TRINQUETE 20V TDRLI2060152;487979;8800.0;5674.0;3126.0;35.52;151;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL COMBO 3PCS LLAVE+ AMOLADORA+ LAMPARA DE TRABAJO 20V TOSL;32902;368600.0;236400.0;132200.0;35.87;47;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL ATORNILLADOR 20V UTIDLI20508 2BT 2.0 MOTOR BRUSHLESS;486088;167100.0;107168.0;59932.0;35.87;59;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL CINTA METRICA TMTF13506;444286;3900.0;2522.0;1378.0;35.33;232;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL JUEGO DE HERRAMIENTAS THKTHP21006 100PCS;456340;239900.0;153818.0;86082.0;35.88;29;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL BOTAS SEGURIDAD TSP201SB.45;417471;57200.0;36683.0;20517.0;35.87;247;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW TALADRO DE IMPACTO 20V COMPACTO SIN ESCOBILLAS 52NM WCD;542326;133900.0;85873.0;48027.0;35.87;59;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL CONTROL PARA BOMBA DE AGUA TWP57501-SB;381222;42900.0;27514.0;15386.0;35.86;197;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL JUEGO DE CINCELES 6PIEZAS THT42K0601;340540;17200.0;11032.0;6168.0;35.86;329;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"TOTAL SOCKET DE IMPACTO THISTD12101 1/2"" 10PCS";430371;157300.0;100864.0;56436.0;35.88;71;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW ESTANTES AJUSTABLES 5N1 WTS1A94 900X400X1.8;461375;17200.0;11032.0;6168.0;35.86;338;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL SIERRA PARA HORMIGÓN THTLCS1241 DE MANO 24';456418;28600.0;18341.0;10259.0;35.87;255;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW TALADRO INALÁMBRICO 12V WCDS520;461702;71300.0;45704.0;25596.0;35.9;76;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW JUEGO DE LLAVES DE TRINQUETE FLEXIBLE WSP5205;528290;23900.0;15325.0;8575.0;35.88;128;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL BATERIA 20V 2PCS 4.0AH TOSLI240312;501965;285100.0;182816.0;102284.0;35.88;83;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL BOMBA DE AGUA TSWP7501 1HP 750W;537049;236600.0;151734.0;84866.0;35.87;195;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL MÁQUINA DE SOLDADURA TW22005 220V 200A;417303;206400.0;132384.0;74016.0;35.86;271;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL ROTOMARTILLO UTH1153256 1500W SDS PLUS;585002;270300.0;173360.0;96940.0;35.86;282;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL JUEGO DE DESTORNILLADORES DE PRECISION AISLADOS 6PCS THK;176033;28000.0;17925.0;10075.0;35.98;110;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL ALICATE PARA BOMBA DE AGUA AISLADAS THTIP28101;430463;16900.0;10840.0;6060.0;35.86;195;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"WADFOW JUEGO DE DADOS 24PCS DE 1/2"" WST2L24";489416;88400.0;56692.0;31708.0;35.87;127;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL KIT HERRAMIENTA THKTV02P041 4PCS;415415;17200.0;11032.0;6168.0;35.86;330;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW TALADRO INALÁMBRICO DE IONES DE LITIO WCDP512;461726;63900.0;40976.0;22924.0;35.87;286;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW PISTOLA DE CALOR 1600W WHG1516;506106;35100.0;22512.0;12588.0;35.86;215;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL AMOLADORA ANGULAR UTAGLI2011582 20V;465311;152400.0;97712.0;54688.0;35.88;45;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW PEGAMENTO PARA PISTOLA WGJ3810 1KG;463850;13600.0;8753.0;4847.0;35.64;320;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL DELANTAL DE CUERO PARA SOLDAR TSPWA03;120111;46800.0;30013.0;16787.0;35.87;302;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
MEDICUBE 1MIN RED ACNE SUCCINIC ACID PEEL 40G;;49400.0;;;;;Sin costo de compra documentado en este PDF;Comparación individual pendiente
TOTAL SOCKET HEXAGONAL THTST12143L 1/2 14MM;437165;13800.0;8826.0;4974.0;36.04;154;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL SIERRA CALADORA 20V TJSLI1008 MOTOR SIN ESCOBILLAS;529228;176900.0;113472.0;63428.0;35.86;262;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL SOPORTE DE ELETRODO PARA MAQUINA DE SOLDAR TWAH10006;381161;206400.0;132384.0;74016.0;35.86;272;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"WADFOW ALICATE CORTE DIAGONAL MULTIFUNCIONALES WPL3778 7.5""";542807;12700.0;8170.0;4530.0;35.67;178;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW ALICATE PARA RED WHS2B46 46PCS;488785;39600.0;25427.0;14173.0;35.79;180;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL CUCHILLO PLEGABLE THT5136288;486552;13800.0;8826.0;4974.0;36.04;141;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW JUEGO DE LLAVE EN ANGULO EN L KIT WTH4208 8PCS;461979;8800.0;5674.0;3126.0;35.52;156;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL TALADRO DE IMPACTO 69NM 42V TIDLI426982;164528;273000.0;175078.0;97922.0;35.87;56;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
MEDICUBE RETINOL NMN BOOSTING SERUM 1.9% 30ML;;26000.0;;;;;Sin costo de compra documentado en este PDF;Comparación individual pendiente
TOTAL HILO DE CORTE 5M TALS1601;486798;46700.0;29944.0;16756.0;35.88;208;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"TOTAL LLAVE AJUSTABLE 300MM 12"" THT101126";341400;22100.0;14184.0;7916.0;35.82;150;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL FRESADORA TR111226 2200W ROTEADOR INDUSTRIAL.;415873;221000.0;141730.0;79270.0;35.87;213;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW SET ALICATES AISLADAS 3PCS WPS0633;496100;29900.0;19177.0;10723.0;35.86;184;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL PISTOLA DE PINTURA TT3506 450W 800ML PLAST;436311;221200.0;141840.0;79360.0;35.88;97;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL BOTAS DE SEGURIDAD TSP206SB46 NEGRO;576734;62400.0;40018.0;22382.0;35.87;237;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL TALADRO PERCUTOR 16V 66NM UTIDLI166062;240642;141700.0;90875.0;50825.0;35.87;56;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL ATORNILLADOR 4V TSDLI0403 LITHUM 2VOL;436250;157300.0;100864.0;56436.0;35.88;65;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW MARTILLO MAQUINISTA WHM1320 2000G;543019;16300.0;10421.0;5879.0;36.07;166;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL BATERIA TFBLI2053 20V 5.0AH;444415;104000.0;66681.0;37319.0;35.88;79;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL COMBO INALÁMBRICO 20V 4PCS TOSLI251082;107419;488800.0;313473.0;175327.0;35.87;80;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW MARTILLO OREJAS WHM3316 450G;460569;10800.0;6934.0;3866.0;35.8;170;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"TOTAL PISTOLA DE SILICONA 9"" THT20109 CALAFATEADORA";415507;36900.0;23640.0;13260.0;35.93;152;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL JUEGO DE DESTORNILLADORES ELECTRÓNICOS 37PCS TACSD30376;565004;15600.0;9989.0;5611.0;35.97;110;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL COMBO 2PCS LLAVE DE IMPACTO + PISTOLA DE CALOR 20V TOSLI;584982;285100.0;182816.0;102284.0;35.88;67;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL HILO DE CORTE 2.5MM 4M TGTLS2545;502115;20200.0;12923.0;7277.0;36.02;207;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW DESTORNILLADOR KIT 2PCS WSS1302;469098;5400.0;3467.0;1933.0;35.8;154;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"WADFOW LLAVE PARA TUBO 12"" WPW1112";469241;9100.0;5838.0;3262.0;35.85;132;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW TALADRO 12V 20NM WCDS565;27854;50000.0;32097.0;17903.0;35.81;277;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL SIERRA COPA 30MM TAC430301;34227;15600.0;10004.0;5596.0;35.87;253;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW NIVEL DE BURBUJA 150CM WSL2G150;489775;16900.0;10840.0;6060.0;35.86;229;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL TIJERAS P/PODA THTA1527406;437585;60100.0;38517.0;21583.0;35.91;174;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW GATO HIDRÁULICO 4 TONELADAS WHJ1504;463409;59000.0;37824.0;21176.0;35.89;223;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL BATERIA 20V TFBLI2125 5.0AH FINA;609593;88500.0;56736.0;31764.0;35.89;83;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL ARNES DE SEGURIDAD THSH501420;532266;85200.0;54608.0;30592.0;35.91;237;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW INFLADOR DE PIE WPP2510;469678;18200.0;11672.0;6528.0;35.87;309;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL LLAVE DE TORSIÓN THPTW300N2;437004;8800.0;5674.0;3126.0;35.52;151;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"WADFOW ALICATE COMBINADO WPL1928 8""";462235;6500.0;4170.0;2330.0;35.85;178;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL FRESADORA UTR111226 2200W ROTEADOR;458771;257400.0;165073.0;92327.0;35.87;213;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL TALADRO DE IMPACTO INALÁMBRICO 12V TIDLI12206;60578;71300.0;45704.0;25596.0;35.9;72;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL JUEGO DE DESTORNILLADORES THGSS35061 6PCS;415958;15700.0;10086.0;5614.0;35.76;145;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW CAPA DE LLUVIA GABARDINA 100% PVC WRC200L L;543422;14300.0;9172.0;5128.0;35.86;242;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW YUNQUE DE MESA 10KG WBV0A10;44370;66300.0;42520.0;23780.0;35.87;313;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"TOTAL ESPATULA CUCHARA 8"" 200MM THT82816";367820;13800.0;8826.0;4974.0;36.04;142;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL MÁQUINA VIBRATORIA DE AZULEJOS 20V TTVLI2010;486194;17200.0;11032.0;6168.0;35.86;331;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL CINCEL 18 X 400 X 50 MM TAC15221822 SDS;487535;12600.0;8088.0;4512.0;35.81;160;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW ROTOMARTILLO 20V MOTOR SIN ESCOBILLAS WLM1526;538879;235900.0;151296.0;84604.0;35.86;285;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL MOTOCULTIVADOR TGC5001 6.5CV;443166;17200.0;11032.0;6168.0;35.86;332;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL PISTOLA DE PINTURA 530W TT45061;584197;78000.0;50006.0;27994.0;35.89;94;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL JUNTA UNIVERSAL 1/2 THHIUJ1121;488396;17200.0;11032.0;6168.0;35.86;330;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
ANUA VISIBLY FIRMING COLLAGEN RETINOL REFINING GUA SHA CREAM 80ML 9326;;79300.0;;;;;Sin costo de compra documentado en este PDF;Comparación individual pendiente
WADFOW CONO TRÁFICO REFLECTIVO 70CM WYJ1A70;501194;28600.0;18341.0;10259.0;35.87;308;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL RECTIFICADOR UTG501032 130W 100PZ;239721;118000.0;75648.0;42352.0;35.89;49;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL TALADRO ANGULAR 20V 80NM TAIRLI208;584715;241800.0;155069.0;86731.0;35.87;52;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW LLAVE DE IMPACTO DE IONES DE LITIO WCD1512;461757;8800.0;5674.0;3126.0;35.52;75;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL SIERRA INGLETADORA TS42182553 1800W;458788;368600.0;236400.0;132200.0;35.87;265;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL JUEGO DE LLAVES THFND061 6PCS;456463;31900.0;20488.0;11412.0;35.77;136;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL ATORNILLADOR 3.6V UTD4361 NICD;239233;157300.0;100864.0;56436.0;35.88;62;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"WADFOW JUEGO DE DADOS CR-V 1/4"" 12PCS WST4212";528351;18200.0;11672.0;6528.0;35.87;101;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL TALADRO PERCUTOR 900W TG1091366;41614;80600.0;51690.0;28910.0;35.87;52;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW JUEGO DE PUNTAS DE DESTORNILLADOR MAGNÉTICO10PCS 65MM W;282741;12400.0;7921.0;4479.0;36.12;122;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW JUEGO DE PUNTAS DE DESTORNILLADOR WSS8B28 28PCS;528139;9100.0;5838.0;3262.0;35.85;128;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
MEDICUBE PDRN PINK COLLAGEN GEL MASK 28G 4UNID 4EA;;33800.0;;;;;Sin costo de compra documentado en este PDF;Comparación individual pendiente
TOTAL BOTAS DE SEGURIDAD TSP202SB.39;512411;57200.0;36683.0;20517.0;35.87;246;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL MARTILLO PERFORADOR SDS-MAX TH115526 1500W;512688;1131000.0;725322.0;405678.0;35.87;274;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW COMBO 2PCS TALADRO +ATORNILLADOR 20V UWCK20277;175111;285100.0;182816.0;102284.0;35.88;74;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"TOTAL ALICATE UNIVERSAL ISOLADA THTIP2181 8""";430425;11800.0;7565.0;4235.0;35.89;188;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL KIT LLAVE TORX THHW8083;415996;8800.0;5674.0;3126.0;35.52;148;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL STAR SOCKET THKTETS0114 14PCS;415439;13800.0;8826.0;4974.0;36.04;137;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW SIERRA CIRCULAR 20V WLWP5633;580014;187200.0;120053.0;67147.0;35.87;258;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL SOPLADOR ASPIRADORA 20V TABLI20028;501910;78600.0;50432.0;28168.0;35.84;199;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL LLAVE DE IMPACTO TIWLI2055 550NM 55K;583800;8800.0;5674.0;3126.0;35.52;70;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL MARTILLO TH110286 1050W SDS PLUS;312110;10800.0;6934.0;3866.0;35.8;282;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"VICTORIA&#039;S SECRET LOCAO VICTORIA&#039;S SECRET BARE VANILLA VACATION 236ML";;31200.0;;;;;Sin costo de compra documentado en este PDF;Comparación individual pendiente
TOTAL PUNTAS DE DESTORNILLADOR DE IMPACTO 2PCS PH2X25MM TACIM7;512312;1600.0;999.0;601.0;37.56;55;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW JUEGO DE HERRAMIENTAS MANUALES 23PCS WHS2B23;496148;37100.0;23760.0;13340.0;35.96;318;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL CEPILLO ROTATORIO 390X110MM THRB8702;512282;15000.0;9588.0;5412.0;36.08;302;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW ROSCA METRICA WAJ1L02 20PCS;463645;17200.0;11032.0;6168.0;35.86;339;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"TOTAL ALICATE CORTE DIAGONAL AISLADO 7"" THTIP2571";430432;15600.0;10004.0;5596.0;35.87;172;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
